split,video,video_stem,track_id,species,frame_index,crop_path,confidence,source,bbox_x,bbox_y,bbox_w,bbox_h,crop_x1,crop_y1,crop_x2,crop_y2,dwell_time_s
train,armadillo50.mp4,armadillo50,1,armadillo,56,crops\armadillo\armadillo50__tid1__f56.jpg,0.9368,high,266.0839538574219,310.1533203125,411.0965270996094,151.67205810546875,246,303,698,469,10.69
train,armadillo2.mp4,armadillo2,1,armadillo,14,crops\armadillo\armadillo2__tid1__f14.jpg,0.8578,high,648.1969604492188,547.7182006835938,170.88299560546875,122.6435546875,640,542,828,676,1.0
train,armadillo3.mp4,armadillo3,1,armadillo,94,crops\armadillo\armadillo3__tid1__f94.jpg,0.6572,low,462.07757568359375,583.9173583984375,222.81549072265625,86.2554931640625,451,580,696,674,1.6
train,armadillo5.mp4,armadillo5,1,armadillo,312,crops\armadillo\armadillo5__tid1__f312.jpg,0.9321,high,821.7433471679688,727.1500244140625,863.9009399414062,292.0616455078125,779,713,1729,1034,15.0
train,armadillo1.mp4,armadillo1,1,armadillo,176,crops\armadillo\armadillo1__tid1__f176.jpg,0.9185,high,0.0,359.90484619140625,327.8359069824219,226.97235107421875,0,349,344,598,7.35
train,armadillo2.mp4,armadillo2,1,armadillo,20,crops\armadillo\armadillo2__tid1__f20.jpg,0.9298,high,605.6762084960938,561.191650390625,167.47119140625,109.46484375,597,556,782,676,1.0
train,armadillo11.mp4,armadillo11,1,armadillo,316,crops\armadillo\armadillo11__tid1__f316.jpg,0.5306,low,1195.073486328125,410.3577575683594,84.926513671875,186.56088256835938,1191,401,1280,606,10.87
train,armadillo4.mp4,armadillo4,1,armadillo,22,crops\armadillo\armadillo4__tid1__f22.jpg,0.8191,high,656.3163452148438,464.73211669921875,191.44854736328125,205.37884521484375,647,454,857,680,5.33
train,armadillo50.mp4,armadillo50,1,armadillo,68,crops\armadillo\armadillo50__tid1__f68.jpg,0.9234,high,323.2738342285156,311.4681091308594,412.2007751464844,151.03237915039062,303,304,756,470,10.69
train,armadillo1.mp4,armadillo1,1,armadillo,52,crops\armadillo\armadillo1__tid1__f52.jpg,0.9607,high,527.045654296875,456.7264099121094,399.108642578125,213.11062622070312,507,446,946,680,7.35
train,armadillo4.mp4,armadillo4,1,armadillo,38,crops\armadillo\armadillo4__tid1__f38.jpg,0.6717,low,645.8206787109375,454.94110107421875,193.9127197265625,215.689697265625,636,444,849,681,5.33
train,armadillo5.mp4,armadillo5,1,armadillo,176,crops\armadillo\armadillo5__tid1__f176.jpg,0.897,high,867.8343505859375,746.2887573242188,452.92236328125,272.45697021484375,845,733,1343,1032,15.0
train,armadillo5.mp4,armadillo5,1,armadillo,266,crops\armadillo\armadillo5__tid1__f266.jpg,0.9268,high,863.745849609375,759.378662109375,551.84423828125,260.259521484375,836,746,1443,1033,15.0
train,armadillo50.mp4,armadillo50,1,armadillo,0,crops\armadillo\armadillo50__tid1__f0.jpg,0.9217,high,0.1763102263212204,318.94775390625,385.71803791821003,150.49569702148438,0,311,405,477,10.69
train,armadillo2.mp4,armadillo2,1,armadillo,6,crops\armadillo\armadillo2__tid1__f6.jpg,0.8032,high,714.1744995117188,524.8500366210938,111.58135986328125,143.118896484375,709,518,831,675,1.0
train,armadillo5839.mp4,armadillo5839,1,armadillo,94,crops\armadillo\armadillo5839__tid1__f94.jpg,0.9501,high,998.609619140625,707.142578125,921.390380859375,312.361572265625,953,692,1920,1035,14.0
train,armadillo3.mp4,armadillo3,1,armadillo,86,crops\armadillo\armadillo3__tid1__f86.jpg,0.8207,high,551.2568359375,575.9967041015625,192.2841796875,94.01397705078125,542,571,753,675,1.6
train,armadillo5839.mp4,armadillo5839,1,armadillo,30,crops\armadillo\armadillo5839__tid1__f30.jpg,0.7016,high,1367.337646484375,897.5545043945312,551.837646484375,122.58843994140625,1340,891,1920,1026,14.0
train,armadillo6.mp4,armadillo6,1,armadillo,108,crops\armadillo\armadillo6__tid1__f108.jpg,0.9291,high,35.3704833984375,523.697998046875,278.81878662109375,146.43817138671875,21,516,328,677,15.17
train,armadillo5839.mp4,armadillo5839,1,armadillo,284,crops\armadillo\armadillo5839__tid1__f284.jpg,0.9062,high,111.96539306640625,761.1068115234375,911.1673583984375,257.9437255859375,66,748,1069,1032,14.0
train,armadillo50.mp4,armadillo50,1,armadillo,130,crops\armadillo\armadillo50__tid1__f130.jpg,0.8708,high,810.6867065429688,317.2027282714844,242.00860595703125,124.47933959960938,799,311,1065,448,10.69
train,armadillo6.mp4,armadillo6,1,armadillo,272,crops\armadillo\armadillo6__tid1__f272.jpg,0.9201,high,94.76384735107422,519.11572265625,177.75586700439453,150.93408203125,86,512,281,678,15.17
train,armadillo4.mp4,armadillo4,1,armadillo,132,crops\armadillo\armadillo4__tid1__f132.jpg,0.7193,high,711.454833984375,353.9014587402344,183.3138427734375,302.5021057128906,702,339,904,672,5.33
train,armadillo5.mp4,armadillo5,1,armadillo,360,crops\armadillo\armadillo5__tid1__f360.jpg,0.9209,high,800.826904296875,753.7860717773438,792.95849609375,265.23150634765625,761,741,1633,1032,15.0
train,armadillo2.mp4,armadillo2,1,armadillo,30,crops\armadillo\armadillo2__tid1__f30.jpg,0.8436,high,611.3421630859375,604.9805908203125,206.4888916015625,65.1446533203125,601,602,828,673,1.0
train,armadillo50.mp4,armadillo50,1,armadillo,256,crops\armadillo\armadillo50__tid1__f256.jpg,0.7373,high,1069.87841796875,300.8862609863281,210.12158203125,113.22793579101562,1059,295,1280,420,10.69
train,armadillo3.mp4,armadillo3,1,armadillo,72,crops\armadillo\armadillo3__tid1__f72.jpg,0.8873,high,679.4169921875,544.1461181640625,139.0828857421875,126.1783447265625,672,538,825,677,1.6
train,armadillo11.mp4,armadillo11,1,armadillo,0,crops\armadillo\armadillo11__tid1__f0.jpg,0.9085,high,911.858154296875,378.1486511230469,367.876708984375,205.14877319335938,893,368,1280,594,10.87
train,armadillo2.mp4,armadillo2,1,armadillo,18,crops\armadillo\armadillo2__tid1__f18.jpg,0.8344,high,624.3580932617188,578.79345703125,152.08905029296875,91.2000732421875,617,574,784,675,1.0
train,armadillo6.mp4,armadillo6,1,armadillo,0,crops\armadillo\armadillo6__tid1__f0.jpg,0.9352,high,84.44294738769531,526.5333862304688,306.83058166503906,143.21270751953125,69,519,407,677,15.17
train,armadillo50.mp4,armadillo50,1,armadillo,60,crops\armadillo\armadillo50__tid1__f60.jpg,0.9197,high,289.3150939941406,310.228759765625,398.3667907714844,146.73095703125,269,303,708,464,10.69
train,armadillo2.mp4,armadillo2,1,armadillo,26,crops\armadillo\armadillo2__tid1__f26.jpg,0.5725,low,603.2630615234375,605.7272338867188,173.658203125,64.32916259765625,595,603,786,673,1.0
train,armadillo5839.mp4,armadillo5839,1,armadillo,366,crops\armadillo\armadillo5839__tid1__f366.jpg,0.9145,high,4.09088134765625,760.845947265625,970.014404296875,258.3057861328125,0,748,1023,1032,14.0
train,armadillo3.mp4,armadillo3,1,armadillo,64,crops\armadillo\armadillo3__tid1__f64.jpg,0.7038,high,745.0043334960938,527.7227783203125,126.19207763671875,140.533203125,739,521,878,675,1.6
train,armadillo5839.mp4,armadillo5839,1,armadillo,118,crops\armadillo\armadillo5839__tid1__f118.jpg,0.9201,high,838.6580810546875,745.0748901367188,868.11376953125,274.22247314453125,795,731,1750,1033,14.0
train,armadillo1.mp4,armadillo1,1,armadillo,134,crops\armadillo\armadillo1__tid1__f134.jpg,0.93,high,92.29063415527344,373.760498046875,480.11524963378906,244.0216064453125,68,362,596,630,7.35
train,armadillo5.mp4,armadillo5,1,armadillo,0,crops\armadillo\armadillo5__tid1__f0.jpg,0.893,high,656.4766845703125,758.81201171875,557.169677734375,260.43896484375,629,746,1242,1032,15.0
train,armadillo5839.mp4,armadillo5839,1,armadillo,98,crops\armadillo\armadillo5839__tid1__f98.jpg,0.9326,high,915.285888671875,757.6643676757812,1004.321533203125,261.50787353515625,865,745,1920,1032,14.0
train,armadillo11.mp4,armadillo11,1,armadillo,62,crops\armadillo\armadillo11__tid1__f62.jpg,0.9156,high,909.6713256835938,386.2042236328125,370.11297607421875,195.285400390625,891,376,1280,591,10.87
train,armadillo50.mp4,armadillo50,1,armadillo,58,crops\armadillo\armadillo50__tid1__f58.jpg,0.9474,high,280.40863037109375,310.4601135253906,399.33538818359375,147.86996459960938,260,303,700,466,10.69
train,armadillo2.mp4,armadillo2,1,armadillo,22,crops\armadillo\armadillo2__tid1__f22.jpg,0.9145,high,594.37451171875,562.2293701171875,190.3309326171875,108.3531494140625,585,557,794,676,1.0
