video,species,n_tracks,avg_dwell_s,total_dwell_s,confidence_mean
Guazubira4.mp4,gray_brocket,1,15.1,15.1,0.9672000000000001
Guazubira5.mp4,gray_brocket,1,15.07,15.07,0.9777
Margay1.mp4,margay,1,2.68,2.68,0.96675
Margay2.mp4,margay,1,3.47,3.47,0.8657
Margay3.mp4,margay,1,6.11,6.11,0.6447
armadillo1.mp4,armadillo,1,7.35,7.35,0.9550333333333333
armadillo11.mp4,armadillo,1,10.87,10.87,0.871
armadillo2.mp4,armadillo,1,1.0,1.0,0.8177
armadillo3.mp4,armadillo,1,1.6,1.6,0.9012
armadillo4.mp4,armadillo,1,5.33,5.33,0.848
armadillo50.mp4,skunk,1,10.69,10.69,0.8268
bird.mp4,bird,1,2.47,2.47,0.8287
bird1235.mp4,bird,1,7.2,7.2,0.92405
bird2545.mp4,dusky_legged_guan,1,5.81,5.81,0.8915
bird5922.mp4,bird,2,7.1,14.2,0.7021200000000001
capybara1.mp4,capybara,2,4.574999999999999,9.149999999999999,0.9531000000000001
capybara2.mp4,capybara,1,8.25,8.25,0.95895
capybara3.mp4,capybara,1,15.07,15.07,0.901
capybara4.mp4,capybara,1,15.1,15.1,0.9787
capybara6.mp4,capybara,1,8.8,8.8,0.8989
capybara8.mp4,capybara,1,14.63,14.63,0.9618000000000001
capybara9.mp4,capybara,1,15.1,15.1,0.982
cow0024.mp4,cow,3,5.19,15.57,0.9254333333333333
cow4.mp4,cow,2,0.935,1.87,0.802575
cow4500.mp4,cow,3,0.8233333333333333,2.4699999999999998,0.9373999999999999
cow5345.mp4,cow,1,8.22,8.22,0.9809
cow6.mp4,cow,3,0.6466666666666666,1.94,0.7883666666666667
dusky_legged_guan24.mp4,dusky_legged_guan,1,5.09,5.09,0.9752
dusky_legged_guan334.mp4,dusky_legged_guan,3,2.256666666666667,6.7700000000000005,0.8284666666666668
dusky_legged_guan354.mp4,dusky_legged_guan,2,15.07,30.14,0.64175
dusky_legged_guan5.mp4,dusky_legged_guan,4,2.5225,10.09,0.7896125
dusky_legged_guan7.mp4,dusky_legged_guan,1,13.3,13.3,0.813
dusky_legged_guan8.mp4,dusky_legged_guan,3,10.913333333333334,32.74,0.9047000000000001
gray_brocket1.mp4,gray_brocket,1,15.07,15.07,0.9758
gray_brocket2.mp4,gray_brocket,1,15.17,15.17,0.97505
gray_brocket4.mp4,gray_brocket,1,15.1,15.1,0.9545
hare244.mp4,hare,1,8.24,8.24,0.93725
hare4353.mp4,hare,1,15.0,15.0,0.9742
hare4531.mp4,hare,1,11.73,11.73,0.9519666666666667
hare5430.mp4,hare,1,11.8,11.8,0.9689333333333333
hare544.mp4,hare,1,8.24,8.24,0.8331
human1.mp4,human,1,7.62,7.62,0.96915
human10.mp4,human,6,4.921666666666667,29.53,0.7332444444444445
human2.mp4,capybara,1,5.2,5.2,0.7135
human2.mp4,human,1,10.73,10.73,0.9727
human3.mp4,human,1,1.54,1.54,0.8757
human4.mp4,human,1,2.33,2.33,0.55175
human9.mp4,human,2,6.595000000000001,13.190000000000001,0.7681
margay.mp4,margay,1,2.13,2.13,0.92555
margay567.mp4,margay,1,3.78,3.78,0.8120999999999999
margay777mp4.mp4,margay,1,5.33,5.33,0.8645
skunk.mp4,skunk,1,3.67,3.67,0.8906
skunk2.mp4,skunk,1,6.21,6.21,0.6823
skunk3.mp4,skunk,1,2.07,2.07,0.9165
skunk4352.mp4,skunk,1,0.53,0.53,0.5785
skunk56.mp4,skunk,1,1.67,1.67,0.78925
skunk875.mp4,skunk,1,2.34,2.34,0.8493
skunk9002.mp4,skunk,1,2.07,2.07,0.754
skunk999.mp4,skunk,1,1.94,1.94,0.6771
wild_boad.mp4,wild_boar,2,0.865,1.73,0.87565
wild_boar123.mp4,wild_boar,2,6.4,12.8,0.8703
wild_boar2341.mp4,wild_boar,2,5.7,11.4,0.9293
wild_boar533.mp4,wild_boar,1,14.07,14.07,0.9793
wild_boar6929.mp4,wild_boar,1,14.07,14.07,0.9785999999999999
wild_boar8.mp4,wild_boar,1,14.07,14.07,0.9061
wild_boar951.mp4,wild_boar,2,2.9699999999999998,5.9399999999999995,0.8991
